text,aug_text,label
"i remember going to the fireworks with my best friend. there was a lot of people, but it only felt like us in the world.","i remember me and my best friend going to the fireworks, and there were a lot of people who just felt like us.",13
 i used to scare for darkness,i used to be afraid of the dark.,11
i showed a guy how to run a good bead in welding class and he caught on quick.,"i taught a guy how to run a good pearl in a welding class, and he caught him fast.",29
i have always been loyal to my wife.,i've always been loyal to my wife.,5
a recent job interview that i had made me feel very anxious because i felt like i didn't come prepared.,"i'm very worried about a recent interview, because i don't think i'm ready to come.",2
i am very happy to have been first over 300 students during this years at my enginering school,i'm glad to have been the first 300 students in my engine school in the last few years.,6
i once lost my job and got mad.,i lost my job. i was angry.,22
"one year during christmas, i did not get a single gift. it was a rough day for me.",i don't have a present for christmas.,0
"i was at work, and my coworker was called into my bosses office. then they were allowed to work remotely every monday. this made me jealous because i enjoy working from home","my colleagues were called into my boss's office, and they were allowed to work remotely every monday, which made me jealous because i liked to work at home.",7
i was home alone. i heard a loud noise come from the kitchen. ,i'm alone. i hear the kitchen ringing.,2
i went to a park and i set on a bench. i didn't notice that my wallet felt. a man came to me from behind giving me back my wallet.,"i went to the park, sat on the bench, and i didn't notice my wallet.",27
i got recently got three rejection letters for 3 different jobs in a matter of a week and a half. that was a painful experience. ,"i recently received three denial letters for three different jobs in a week and a half, which was a painful experience.",0
i had my entire house boarded up when the hurricane came.,"when the hurricane hit, i sealed up the whole house.",30
"one time when i was in preschool, i had to write on the board. when i got up, my pants fell down in front of the class, that embarassed me","once when i was in pre-school, i had to write it on the cardboard, and when i woke up, my pants fell in front of the class, which made me feel embarrassed.",26
i am so upset and mad. i cant believe what has happened!,i'm so angry. i can't believe what's going on!,22
last year a tree fell on my house while my family was at home. the tree broke through the ceiling just a few feet away from my daughter. the experience was terrifying.,"last year, when my family was home, a tree fell to my house and it broke the ceiling just a few feet away from my daughter, a terrible experience.",11
"last week, i was watching the world cup, and watched croatia win from russia","last week, i watched the world cup and watched the russian croatia win.",15
i have someone always asking me questions about how to use mobile.,i've always been asked questions about how to use a cell phone.,17
"i spent all weekend working on my truck to fix a miss in the engine. despite spending over $200 in parts, it didn't do a thing to fix the miss.","i spent the whole weekend working in a truck to make up for engine failures, even though i spent over $200 on spare parts.",22
"a few years ago, my marriage broke up, and i found myself living alone for the first time in my life. though i eventually grew accustomed to the solitude, it took a while to get used to it.","a few years ago, my marriage broke down, and i found myself living alone for the first time, and it took me a while to get used to being alone.",21
i felt proud when i had accomplished a dream that i wanted to do for a long time. ,i was proud when i made a long dream that i wanted to have.,29
when i spend time with my father outside by the fire when we are camping.,"when we were camping, my father and i spent time outside at the fire.",13
i was so happy when i moved in to my new home. my girlfriend and i have been saving for awhile and we finally got the keys last month. now we can finally move on with our life plans.,"i moved into my new home, and i saved some money with my girlfriend, and last month we finally got the key, and now we can finally get on with the plan.",6
i went to a party and it was real bad. ,"i went to a party, it was really bad.",10
after learning my husband of only 4 weeks was cheating on me i did the same to him. not only was it before our marriage but i had found texts of him contacting her for sex after. to make it worse i slept with a close family friend of his.,"and even worse, i slept with a close friend of his.",25
"when i was younger, my parents picked me up from work with a new car, which really surprised me, i was so excited to have my own car!","when i was young, my parents picked me up from work in a new car, which surprised me, and i was so excited because i had my own car!",9
i get wistful remembering my high school days.,i miss high school.,31
"last year i placed an article in an academic journal. this was the first time in a while that i had been able to do this, and it made me feel better about myself.","last year i published an article in an academic journal, and it's the first time i've done this for a while, which makes me feel better about myself.",23
i get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,"i've been pissed off by a colleague, and i've been bothering me, and i've been bothering me about the smell of smoke, trying to talk.",17
i broke a statuette offered by grandmother to my sister.,i broke a statue by my grandmother to my sister.,25
"i ordered for french fries ,bit was served burger,that pissed me off!","i ordered fries, and pete ate burgers. that pisses me off!",19
"there was a situation where i might of hurt my freinds feelings, i ate from my friends fridge and he had no more food left that day. he had to go to bed with no food. hungry.","and then i might hurt my fear, and i ate from a friend's fridge, and he had no food that day.",25
"i was just on vacation in biloxi. while hanging out on the balcony, i dropped some chips and then the balcony was swarmed by seagulls.","i was on vacation at biloxi, hanging around the balcony, and i threw some chips, and the balcony was surrounded by gulls.",2
"my mom took away my game system, and would not give it back ever again.",my mom took my game system and won't give it back to me again.,19
one of my friend didn't keep this promise he made to me.,a friend of mine didn't keep the promise he made to me.,4
there were times where i was being seduced by a coworker of mine.  i remained committed to my wife and did not cheat.  it was a good decision.,"i'm still loyal to my wife, and i don't cheat.",5
"i look out for all my students, if they are struggling, i take however much time they need to understand.","i take care of all the students, if they struggle, how much time i spend they need to understand.",3
"i felt sad when my dog passed away. it was a pet that i had since i was 3 years old, and was one of the saddest days of my life.","when my dog died, i was sad, it was a pet that i had since i was three years old, and it was one of the saddest days of my life.",0
"yesterday, i was really craving dairy queen. so, i got in my car and went to grab some blizzards. when i got there, they were closed. ","yesterday, i really wanted the dairy queen, so i got in my car and went to catch some blizzards, and when i got there, they closed.",4
a situation when i felt grateful was when i had a flat tire and my father came to help me with it.  i felt grateful to have family around to be there for me.,"father came to help me, and i'm glad my family's with me.",27
every year on my kids birthday's i think back on when they were born. i remember all the sweet smells and sounds of them as a baby.,i remember the sweetness and sound of their childhood.,13
when i was little and i found out that we were going to the amusement park . ,"when i was a kid, i found out we were going to the amusement park.",15
my wife and i took a 3 week trip to new zealand last year.,"last year, my wife and i travelled to new zealand for three weeks.",15
i felt caring when i had to pick up and take care of my ailing cousin. his stomach felt bad and he was vomiting all over the place. i helped clean him up and gave him some medicine to make his stomach go back to normal.,"i cleaned him up, gave him some medicine, put his stomach back together.",3
"two years ago, i was admitted in hospital. i was not well. i felt afraid whether i would be alive. but fortunately, i am live","two years ago, i was hospitalized, i wasn't feeling well, and i was worried if i was alive, but fortunately, i was still alive.",11
i am so annoyed by my new manager at work. he always lies to us. ,the new manager at my job bothers me. he's always lying to us.,17
"lending my vehicle to a friend, which i never do.",lend my car to a friend. i never would.,1
i just went for a shopping spree and bought a $2000 bag,"i bought a $2,000 bag.",25
"had to wait in line forever to check out at walmart , horrible","had to line up and wait forever to check at walmart, awful.",8
i had a co-worker open at my jb and instead of getting anything done she spent the enitre time on the phone. when i got to work i had to do her job and my own. ,"i have a colleague in my jb open, instead of getting anything she spends time on the phone, when i start working, i have to do her job and mine.",19
recently my manager lied to us. he changed our money and took the bonus away. ,my manager lied to us recently. he swapped our money and took the bonus.,22
"i was in a situation where i missed out on making some money, that caused me not to be happy.","i missed the opportunity to make money, which made me very unhappy.",0
we were getting ready to move back to our hometown after nine years away. i could not wait to be back close to family and friends.,i can't wait to get back to my family and friends.,16
i was reversing the car in the roadside. i had bumped into the car which was parked behind. i had to wait for so long to speak to the car owner,"i hit the car parked in the back, and i waited so long to talk to the owner.",18
when my partner went out of her way to make my day better. with gifts. ,"when my partner left to make my day better, he brought a gift.",31
i woke up early today for work. my children were still up watching cartoons!,the kids are still watching comics!,9
"finally got some yard work done , love the smell of fresh cut grass.","finally finished the work in the yard, like the smell of fresh cutting grass.",29
"when i realized all the chocolate was gone, after a long day. ","when i realized that all the chocolates were gone, all day long.",0
"my daughter, who has a fear of water, has learned to swim this summer! she still gets a little nervous, but overall she loves it!","my daughter, afraid of water, learned to swim this summer, she's still a little nervous, but she likes it anyway.",6
i am concerned about the financial situation of my employer.,i'm worried about my employer's financial situation.,11
my ex girlfriend cheated on me with one of my closest friends. it made me very angry at the both of them.,my ex-girlfriend and my closest friend lied to me.,22
i heard a car outside that sounded like it wrecked yesterday. it sounded  awful.,i heard a car outside. looks like it crashed yesterday. sounds like shit.,18
i was getting in a taxi and noticed someone had thrown up in the backseat.,i took a cab. i found someone in the back seat.,8
