text,aug_text,label
 i used to scare for darkness,i used to be afraid of the dark.,3
i am very happy to have been first over 300 students during this years at my enginering school,i'm glad to have been the first 300 students in my engine school in the last few years.,1
i once lost my job and got mad.,i lost my job. i was angry.,2
"one year during christmas, i did not get a single gift. it was a rough day for me.",i don't have a present for christmas.,0
i got recently got three rejection letters for 3 different jobs in a matter of a week and a half. that was a painful experience. ,"i recently received three denial letters for three different jobs in a week and a half, which was a painful experience.",0
i am so upset and mad. i cant believe what has happened!,i'm so angry. i can't believe what's going on!,2
last year a tree fell on my house while my family was at home. the tree broke through the ceiling just a few feet away from my daughter. the experience was terrifying.,"last year, when my family was home, a tree fell to my house and it broke the ceiling just a few feet away from my daughter, a terrible experience.",3
"i spent all weekend working on my truck to fix a miss in the engine. despite spending over $200 in parts, it didn't do a thing to fix the miss.","i spent the whole weekend working in a truck to make up for engine failures, even though i spent over $200 on spare parts.",2
i was so happy when i moved in to my new home. my girlfriend and i have been saving for awhile and we finally got the keys last month. now we can finally move on with our life plans.,"i moved into my new home, and i saved some money with my girlfriend, and last month we finally got the key, and now we can finally get on with the plan.",1
"i felt sad when my dog passed away. it was a pet that i had since i was 3 years old, and was one of the saddest days of my life.","when my dog died, i was sad, it was a pet that i had since i was three years old, and it was one of the saddest days of my life.",0
"two years ago, i was admitted in hospital. i was not well. i felt afraid whether i would be alive. but fortunately, i am live","two years ago, i was hospitalized, i wasn't feeling well, and i was worried if i was alive, but fortunately, i was still alive.",3
recently my manager lied to us. he changed our money and took the bonus away. ,my manager lied to us recently. he swapped our money and took the bonus.,2
"i was in a situation where i missed out on making some money, that caused me not to be happy.","i missed the opportunity to make money, which made me very unhappy.",0
"when i realized all the chocolate was gone, after a long day. ","when i realized that all the chocolates were gone, all day long.",0
"my daughter, who has a fear of water, has learned to swim this summer! she still gets a little nervous, but overall she loves it!","my daughter, afraid of water, learned to swim this summer, she's still a little nervous, but she likes it anyway.",1
i am concerned about the financial situation of my employer.,i'm worried about my employer's financial situation.,3
my ex girlfriend cheated on me with one of my closest friends. it made me very angry at the both of them.,my ex-girlfriend and my closest friend lied to me.,2
i thought my company was going to have a lay off. it was a tough few weeks.,i thought my company was getting laid off. it's been a tough couple of weeks.,3
when i moved into my apartment it was full of bugs! ,"when i moved into my apartment, there were bugs everywhere!",2
"i was lost in a neighborhood i didn't know, when some guy came up to me and quietly asked if i needed a ride.",i'm lost in a neighborhood i don't know when someone comes to me and whispers to me if i need a ride.,3
i just found out they are not making a sequel to a movie i like.,i just found out they're not making a sequel to my favorite movie.,0
