text,aug_text,label
 i used to scare for darkness,i used to be afraid of the dark.,2
a recent job interview that i had made me feel very anxious because i felt like i didn't come prepared.,"i'm very worried about a recent interview, because i don't think i'm ready to come.",3
i was home alone. i heard a loud noise come from the kitchen. ,i'm alone. i hear the kitchen ringing.,3
last year a tree fell on my house while my family was at home. the tree broke through the ceiling just a few feet away from my daughter. the experience was terrifying.,"last year, when my family was home, a tree fell to my house and it broke the ceiling just a few feet away from my daughter, a terrible experience.",2
"i was just on vacation in biloxi. while hanging out on the balcony, i dropped some chips and then the balcony was swarmed by seagulls.","i was on vacation at biloxi, hanging around the balcony, and i threw some chips, and the balcony was surrounded by gulls.",3
"two years ago, i was admitted in hospital. i was not well. i felt afraid whether i would be alive. but fortunately, i am live","two years ago, i was hospitalized, i wasn't feeling well, and i was worried if i was alive, but fortunately, i was still alive.",2
i was reversing the car in the roadside. i had bumped into the car which was parked behind. i had to wait for so long to speak to the car owner,"i hit the car parked in the back, and i waited so long to talk to the owner.",0
i am concerned about the financial situation of my employer.,i'm worried about my employer's financial situation.,2
i heard a car outside that sounded like it wrecked yesterday. it sounded  awful.,i heard a car outside. looks like it crashed yesterday. sounds like shit.,0
i thought my company was going to have a lay off. it was a tough few weeks.,i thought my company was getting laid off. it's been a tough couple of weeks.,2
today is my birthday. i can't wait to see who calls me. or my gifts.,it's my birthday. i can't wait to see who calls me or my present.,0
i was driving down a road at night and my car died. i sat in a car with not lights for hours.,"i was driving on the road at night, and my car died, and i sat in the car for hours without lights.",3
"i was lost in a neighborhood i didn't know, when some guy came up to me and quietly asked if i needed a ride.",i'm lost in a neighborhood i don't know when someone comes to me and whispers to me if i need a ride.,2
i've lost my job and am behind on my mortgage. it scares me that i could lose my home.,"i'm unemployed and mortgages are lagging behind, and i'm afraid i'll lose my home.",3
someone offered me a job online to make a lot of money. ,someone found me a job online to make a lot of money.,1
i cant wait to relocate again. ,i can't wait to move.,0
"i went to the optometrist, and my prescription got strong. she warned me about being at risk for losing my vision.","she warned me that if i lost my sight, she would risk it.",2
i got pulled over and almost got a ticket.,i got pulled over. i almost got a ticket.,2
in a hurry to go on vacation! ,we're going on vacation!,0
i once saw a snake in the woods and got very scared.,"i once saw a snake in the woods, scared.",2
when i was moving and lost my insurance to my car. ,"when i moved, my insurance lost my car.",3
there was once a mouse in my  kitchen. i almost died.,there was a rat in the kitchen. i almost died.,2
i think my job will lay us off. ,i think my job is gonna get us out of work.,2
our lights went out last week during a storm. its was only for 15 minutes but i was so scared.,"we went out last week in the storm for only 15 minutes, but i was scared.",2
when my daughter choked on a piece of food ,"when my daughter was strangled by a piece of food,",2
"when i was little, i was afraid of the dark.","when i was a kid, i was afraid of the dark.",2
i am afraid of clowns.,i'm afraid of clowns.,2
i was attavked by seagulls on the balcony of a hotel last weekend. i was eating crackers.,"i was stuck with a gull on the balcony of the hotel last weekend, and i was eating cookies.",3
i am afraid of ghosts.,i'm afraid of ghosts.,3
i can't wait for halloween. it is my favorite holifay. i love dressing up with the kids.,i can't wait for halloween.,0
i'm doing a drink a paint session this weekend. i can't wait. it's goin to be fun!,i'm having a paint class this weekend. i can't wait. it'll be fun!,0
when i lost my job. ,"when i lost my job,",2
i was apprehensive to get married.,i'm afraid of getting married.,1
"i went on my first date ever only about a month ago. even though i knew this girl really well beforehand, i was still really worried that it would be awkward and that i might mess it up.",my first date was about a month ago.,0
i am scared of how i will die.,i'm afraid i'll die.,2
had hellp syndrom with first child.  spent all 9 months being pregnant with 2nd child worrying about the same thing happening.,"nine months in a row with a second child, worried that the same thing would happen.",1
i have a job interview coming up next week. i'm a little nervous about it.,i have a job interview next week. i'm a little nervous.,0
we've had some big rain storms where i live this spring and summer. the creek behind my house got almost in the yard twice already. very scary.,the creek behind my house has been in the yard almost twice.,3
i was very afraid in airplane because of turbulence.,the reason i was afraid on the plane was because of the turmoil.,3
"when i was driving home from my first job it was snowing. i accidentally hit a curb and spun into the other lane and almost into a ditch, i was very scared","i drove home from work the first time, and it was snowing, and i accidentally hit the side of the road, hit another lane, almost hit the ditch, and i was scared.",2
"it's been so dry in my area lately , i'm afraid there might be some forest fires. i live near a mountain. ","i'm afraid there may be some forest fires in my territory lately, and i live near the mountains.",2
when i was a child i was chased by a pitbull and i was very afraid. dogs had always scared me at that age,"when i was a kid, i was chased by a puddleball, and i was scared.",2
"when i was younger my dad scared me and my brothers when we were trying to sleep, i almost wet the bed. i was very terrified","when i was young, my dad scared me and my brother, and when we wanted to sleep, i almost wetted the bed, and i freaked out.",3
today going to the dentist i was going to have my first root canal done ever along with three other teeth worked on. i knew i would be numbed but that came with the price of a needle being used. i was very nervous and worried.,"i went to the dentist today, and i was going to fix the first canal with the other three teeth, and i knew i'd be numb, but i paid for using needles, and i was very nervous and worried.",3
as a child i was sitting in my parents car and a storm started. i was just playing my gameboy and the car started to shake. a log went right through the car window after a couple of minutes of the storm starting.,"when i was a kid, i sat in my parents' car, and the storm started.",3
"back in october of last year i had my first drink. at that time i had never drank or tried any drugs or anything, so i was very nervous about trying anything mind altering like that.","i never drank or tried any drugs or anything at that time, so i was very nervous to try to change anything.",1
i just started working out and wasn't sure how to start.,i'm just starting to exercise. i don't know how to start.,1
lately i have been very upset and worried about my financial situation. the stress has been quite overwhelming.,"recently, i am very disturbed and worried about the financial situation.",3
"last night, i dreamt that i was riding around the road on a motorcycle, and at one point almost fell of making a quick sharp turn. ","last night, i dreamt i was riding a motorcycle by the side of the road, and one day, i almost fell, and i turned fast.",2
i was traveling to my daughters new house at night and i was feeling a little anxious about not finding her house.,"i went to my daughter's new house at night, and i was a little worried i wouldn't find her.",1
it was a time of my life where i liked spooky things. i went into a abandoned house and i decided to spend the night. well i started hearing noises and voices and i just was so scared i ran out the house.,"i went into an abandoned house, decided to spend the night, and i started hearing noises and sounds, and i was afraid to run out of my house.",3
i am afraid of the upcoming economic crisis in the usa,i'm afraid of the impending economic crisis.,2
i was attacked in the street by someone who stealed my bag. i was so scared that i had a panic attack.,i was attacked on the street by someone who stole my bag.,3
i was once was very nervous and scared when i thought my girlfriend was pregnant. waiting to find out was what got me so scared. i found out that she wasn't and everything was okay. ,"i used to be very nervous and scared when i thought my girlfriend was pregnant, waiting to find out what scared me so much, and i found out she wasn't, everything was fine.",2
i was babysitting my 2 year old nephew and he tried to dive off the couch headfirst onto the floor.  i caught him by one leg.,"i took care of my 2-year-old nephew, who tried to jump off the couch and jump on the floor, and i caught him with a leg.",3
i recently thought i saw a ghost in my house. it was horrifying to me.,i thought i'd seen a ghost in my house lately.,3
"i have a big meeting coming up soon, and even though i am pretty well prepared, i can't help feeling like this is a big risk.","i'm about to have a big meeting soon, and although i'm well prepared, i still think it's dangerous.",1
i am old.  i am seperated from my wife.  i live far from my children.  for pragmatoic reasons i am the one that can file for divorce.  i do not want to die alone.,i'm old. i'm cut off from my wife. i live far away from the kids.,2
i am stressed by my blood test results that i will receive tomorrow.,my blood test results put me under a lot of stress. i'll get it tomorrow.,0
yesterday at the doctors i had to get a shot.  the worse part was the anticipation while waiting for what seemed like forever for them to come in and give it to me.  it was emotionally draining.,"the worse part is waiting for them forever, waiting for them to come to me.",0
i was unsure about letting my son go to a sleepover since we didn't know the family very well.  it was hard to decide what to do.,i am not sure that my son will go to the night because we do not know much about family and it is difficult to decide what to do.,1
i am very scared of the ocean.,i'm very afraid of the ocean.,2
"i was scared when i was on a vacation to mexico, after hearing about the crime there.","when i was on vacation in mexico, i was scared.",2
i was afraid during the earthquake.,i was scared during the earthquake.,3
my husband had meningitis and then got bells palsey.  i was very very worried.,my husband got meningitis and he rang the bell. i was worried.,3
i am afraid of heights.,i'm afraid of heights.,3
i had to have some tests run due to an unclear mammogram.  it took days for the results to come back and thankfully they were all clear.,"as mammograms were unknown, i had to carry out some tests.",0
"buying my first home, and i'm worried about all the expenses that might happen besides the mortgage.","i'm worried about all the expenses that can be incurred, except for mortgages.",1
just injured my ankle. now i can't work. ,my ankle's hurt. now i can't work.,0
our home was broken in to 2 months after we purchased it.,"two months after our home was broken into, we bought it.",2
"i just lost my job, and i've got too many bills.",i just lost my job. too many bills.,3
my daughter was thrown from her horse a few months back.  we took her to the hospital and it took hours to make sure she was ok.  those were a long few hours.,"my daughter was thrown off the horse a few months ago, and we took her to the hospital.",0
our youngest daughter fell down our back stairs and hit her head on the bottom step.  she started throwing up about an hour later and we went to the er.  ,"our little girl fell down the back stairs, she got hit on the head, and she started vomiting about an hour later.",2
i haven't heard from my friend in 3 days. his family doesn't know where he is.,i haven't heard from any friends in three days. his family doesn't know where he is.,2
having an existential crisis and realizing i'm going to die and there's no way to know what will happen when i do,"in the face of a survival crisis, i'm dying, and i don't know when it's gonna happen.",0
i was on a date with a new girl.  we were walking to a concert.  some toughs were approaching the other way.,"i'm dating a new girl, and we're going to a concert, and some tough guys are getting close to another way.",1
"when a tornado touched down a few hundred feet from my property, i was pretty scared","when the tornado dropped hundreds of feet from my territory, i was scared.",3
we made the decision to homeschool our girls.  it's a tremendous responsibility and i still don't think i've got it all together.,"we decided to send girls home to school, which is a huge responsibility, but i still don't think i've got it all together.",0
"the result of my final college exams was to be published the next day,i could hardly sleep due to expectations",the results of my final college exam will be published the next day because i'm not expected to sleep.,0
the night before a job interview i have a difficult time sleeping. i get too nervous about meeting them,"i had a hard time sleeping on the night before the interview, and i was so nervous when i met them.",0
i had to investigate a noise coming from my  backyard at night.,i had to investigate a noise coming to my backyard at night.,2
i was really nervous when starting a new job a few months ago..,i was really nervous when i started looking for a new job a few months ago.,0
"i am tired of working midnights, but scared to start something new","i'm tired of working at midnight, but i'm afraid to start something new.",1
who knows what the future hold? all is in gods hands! take no thought about the morrow,who knows what will be the end of the future the affair is in the hands of the gods. do not think about the day of tomorrow.,1
i am finding it hard to meet the project deadline. and this makes me anxious and stressed throughout the week,"i find it difficult to meet the project deadline, which makes me anxious and nervous throughout the week.",0
one time i was robbed at gun point.  ,i was robbed once when i was pointed at the gun.,2
i am very apprehensive these days.,i've been very worried lately.,1
i have applied for a job 4 months ago and i am having an interview with the company tomorrow. i do not know what i will see there as it is my first interview ever ,i applied for a job four months ago.,0
i am so nervous.  i am going to the dentist to have a tooth pulled tomorrow.,i'm so nervous. i'm going to the dentist tomorrow to pull my teeth out.,0
one time i drank way too much and was so wasted that i thought i was gonna die. i threw up and then felt much better.,"once i was drunk and drunk and thought i was dying, and i threw up, and i felt better.",2
when i was going for an interview i was so afraid as i could not tell the end results,"when i went to the interview, i was scared because i couldn't tell the final result.",2
i am so nervous about my upcoming surgery. i have never had to have a surgery before. i just hope everything goes right!,i'm nervous about the impending surgery. i've never had an operation. i just want everything to be okay!,0
i am really nervous.  i have to take an important exam next week.,i'm nervous. i have an important exam next week.,0
"while camping alone, i awoke to sound of growling outside my tent. it sounded like a big old mean wolf who wanted to eat me.","when i was camping alone, i woke up hearing a roar outside the tent, sounding like a big old wolf, trying to eat me.",3
i heard a noise in my house late last night. it sounded like someone was walking around in the kitchen. i grabbed my mace just in case.,sounds like someone's walking around the kitchen.,3
i went for a run in the woods with my headphones in and a deer screamed at me.,"i ran into the woods, came in with my headphones, and a deer screamed at me.",3
i'm awaiting eagerly to meet my friend. she is coming to my home to meet after 5 years later.,i'm eager to see my friend. she'll meet me at my house in five years.,0
"one night when i was crossing a road, a car didn't see me and almost hit me! i was so scared.","one night i walked across the road, a car didn't see me, almost hit me!",3
"i once was in a car with my friend who was really high and i was pretty scared. i thought that he would drive really badly but he didn't, but it was still worrying.","i used to ride with friends, friends very high, and i was scared, and i thought he'd drive bad, but he didn't.",0
one time me and my friends went to the movies and one of them ate some edibles (weed) and started to panic. i got really worried that something might be wrong but he was just too high and we just waited until he was more sober after we left the movie early.,"one time, i went to the movies with my friend, and one of them ate some food and started panicking, and i was really worried that something might be wrong, but he was too tall.",2
me and a few friends got offered to go to this party off campus. it seemed really sketchy but it turned out fine and it was a lot of fun.,"my friends and i were invited to a party outside the campus, and it looked rough, but it turned out pretty good, and it was fun.",1
"i was on a walk with my kids, and these two dogs who are always running around loose causing trouble came running at us like they wanted to attack. i had to stomp my feet and yell to scare them off. ","these two dogs were always running around in trouble, running around like they wanted to attack, and i had to step on my feet and scream to scare them off.",3
one time i got stuck in a storm and was scared i might get swept away,"once i was trapped in a storm, afraid i might get washed away.",2
last week someone broke in my house and robbed us.  now i am scared to even live here!,"last week, someone broke into my house and robbed us, and now i don't even dare to live here!",3
i was so frightened when a black cat started following me home. i am very superstitious and though perhaps it was a shapeshifter.,"when a black cat started following me home, i was scared.",3
i was alwals terrified about the unknown,"i'm scared, scared, scared, scared, scared.",2
my girlfriend sent me a gift and it will get to me in 3 days. i cannot wait to see what she got for me,"my girlfriend gave me a present, and she'll send it to me in three days, and i can't wait to see what she bought me.",0
"i was in a neighbors house when they weren't there (i had a key) which was not uncommon. i heard voices and felt like there was a ghost in the house, ",i was at the neighbor's house when they weren't there.,2
"i am so stress. tomorrow, i will have my final exams.",i'm under a lot of pressure. i'm taking my finals tomorrow.,0
"one night, i was just done reading some really scary stories and my door suddenly opened on its own. upon closer inspection it was my cat opening it since it wasn't completely closed.","one night, i just read some very scary stories, and suddenly my door opened itself. after a careful examination, it was opened by my cat, because it wasn't completely closed.",2
"the first time that i ever tried weed was so scary at first. i was in amsterdam and i was offered a hit from a bong and i was really hesitant, but it was a great time after that.","the first time i tried weeding, it was terrible at first.",1
i am stressed. my wife is expecting a baby. i am happy but at the same time i feel littlle stress by the responsabillities.,"i'm under a lot of pressure, and my wife is waiting for a kid, and i'm happy, but at the same time, i'm nervous.",0
i am always cuios about the things i dont know,i always cook for things i don't know.,0
once upon a time i am go for the market at that time one man for very hungry because some food for provide the man .,once i was going to the market when a man was very hungry because some food was given to men.,2
"boy, that movie the conjuring sure was good. i have not felt scared in a long time, and i am horror movie buff myself. ",i haven't been scared in a long time. i'm a freak in a horror movie.,3
i get this situation in midnight,i didn't get this until midnight.,2
i always feel anxious in a crowded room,i'm always anxious in a crowded room.,0
