text,aug_text,label
"i remember going to the fireworks with my best friend. there was a lot of people, but it only felt like us in the world.","i remember me and my best friend going to the fireworks, and there were a lot of people who just felt like us.",2
"one year during christmas, i did not get a single gift. it was a rough day for me.",i don't have a present for christmas.,0
i got recently got three rejection letters for 3 different jobs in a matter of a week and a half. that was a painful experience. ,"i recently received three denial letters for three different jobs in a week and a half, which was a painful experience.",0
when i spend time with my father outside by the fire when we are camping.,"when we were camping, my father and i spent time outside at the fire.",2
i get wistful remembering my high school days.,i miss high school.,3
"i felt sad when my dog passed away. it was a pet that i had since i was 3 years old, and was one of the saddest days of my life.","when my dog died, i was sad, it was a pet that i had since i was three years old, and it was one of the saddest days of my life.",0
every year on my kids birthday's i think back on when they were born. i remember all the sweet smells and sounds of them as a baby.,i remember the sweetness and sound of their childhood.,2
"i was in a situation where i missed out on making some money, that caused me not to be happy.","i missed the opportunity to make money, which made me very unhappy.",0
when my partner went out of her way to make my day better. with gifts. ,"when my partner left to make my day better, he brought a gift.",3
"when i realized all the chocolate was gone, after a long day. ","when i realized that all the chocolates were gone, all day long.",0
i came across an old keychain that my dad gave to me when i was younger. it was cool. ,i met an old key chain my dad gave me when i was young.,2
i just found out they are not making a sequel to a movie i like.,i just found out they're not making a sequel to my favorite movie.,0
a few years ago when my grandmother died unexpectedly.,"a few years ago, when my grandmother died in an accident,",0
my old high school is being turned into an old people's apartments building. so sad. ,my high school was turned into an old man's apartment building.,3
when i had to say goodbye to my dad,"when i said goodbye to my dad,",1
i shouldn't have to cook on my birthday. this is when i miss having a boyfriend.,i shouldn't cook on my birthday. i missed my boyfriend.,0
"my mom has arthritis in her neck, and the pain seems to be traveling down now.",my mom has arthritis on her neck. the pain seems to be falling.,0
"my birthday was last weekend, and no one wished me a happy birthday.","my birthday was last weekend, and nobody wanted me to have a happy birthday.",0
i was told my cat only has a few weeks to live.,i was told my cat was only alive for a few weeks.,0
i had to put my dog to sleep and it was super stressing! :( ,i had to let my dog fall asleep.,0
went for a visit to the place i grew up and it has gone down hill a lot since i was there last. very sad. a lot of the houses look so run down and dilapidated. ,"i went to visit where i grew up, where i've been since the last time i was there.",3
i once went to see fireworks with my best friend. best day of my life. we're no longer friends.,"i used to go to fireworks with my best friend, the best day of my life, and we're not friends anymore.",2
i saw that they are going to remake a movie i like a lot.,i see they're going to remake a movie that i love.,3
i lost my cat to old age and cried all night about it.,"i lost my cat old, cried all night about it.",0
i lost my wallet and had to get all new cards,i lost my wallet. i had to buy a new card.,0
i was sad when my grandma died.,i was sad when my grandmother died.,0
"i'be been thinking a lot about my childhood lately, sort or reminiscing.","i've been thinking about my childhood lately, sorting or recalling.",2
went to the beach the other day and remember how much my friend liked going together.,"i went to the beach the other day, remember how much my friends liked being together.",2
i was going through old photos of my family and when i was younger.,i was checking out old pictures of my family when i was young.,3
whenever i see my friends on fb posting photos from my hometown i always start to miss it a little. ,"every time i see my friends posting pictures from home on the fb, i'm starting to miss it a little bit.",3
 i was devastated when the falcons blew the super bowl.,"when the falcon blew up the super bowl, i was torn apart.",1
"i let my cat out for the evening , the first time i left her outside at night and she didn't come back. ","i let my cat out for the night, the first time i left her out the night she didn't come back.",1
i was driving past the elementary school that i went to years ago and i decided to go through the parking lot for a few minutes. i saw all the old buildings and even the old playground and it really surprised me as to how little it has changed.,"i drove past the elementary school i went to a few years ago, and i decided to go through the parking lot for a few minutes, and i saw all the old buildings, even the old playground.",3
"i really got close with a girl that i met from tinder, to the point where we were ""dating"". then randomly, after like 4 days, she says that she doesn't want to date anymore and then just stops talking to me.","i really got close to a girl, and i went from lighter to date, and then randomly, like, four days later, she said she didn't want to go out, and then she stopped talking to me.",0
"i am trying to sell my house for 89k dollars, i have been in a bad financial situation, my nephew knows it, and now he is trying to buy my house just for 75k, trying to take advance of my situation ","i tried to sell my house for $89k, and i've been in a bad financial position, and my nephew knew that, and my nephew knew that, and now he's trying to buy my house.",0
i was devastated when my favorite world cup team was knocked out of the tournament. ,"when my favorite world cup team got kicked out of the game, i got beat up.",1
when my grandmother passed away i was so sad. i was only 13 years old,"when my grandmother died, i was 13 years old.",1
my dad accidentally got into rat poison and died.,my father was accidentally killed by a rat poison.,1
"recently i met up with a friend that i knew years and years ago and i learned that he actually bought his house from his mom. we went there and had a few beers and it looked exactly the same as before, even smelled the same.","i recently met a friend, a friend i knew a few years ago, and i learned that he bought a house from his mother, and we went there and we had a couple of beers, which looked exactly the same as before, and even smelled the same.",3
i was sad when my grandmother passed away. i was still a child,i was sad when my grandmother died. i was a kid.,0
my car broke down when i was travelling to work and i missed a very important meeting regarding my promotion. i was devastated.,"my car broke down on a business trip, and i missed a very important meeting about the promotion.",1
i recently did a tour through my old high school and it brought back a lot of memories.,i recently visited my high school and brought back a lot of memories.,3
i recently had to put my cat to sleep. it was an emotional day.,it's been an exciting day.,0
"last year, i went to a restaurant and they had a pinball machine.","last year, i went to a restaurant. they had a pool machine.",3
"i was looking forward to spending time with my friend megan today, but i had to put it off again because i fell ill this morning.","i look forward to being with my friend megan today, but i have to postpone it again because i got sick this morning.",0
"i let my friend borrow my car last year and i got a call later that night that he crashed it and totaled it, man i was crushed by that experience.","i had my friend borrow my car last year, and i got a phone call the other night, and he hit the car, and he messed it up.",1
i recently found out my mom was very sick. she has stage 4 liver cirrhosis.,i've recently discovered that my mother is very sick and that she cirrhified her liver for the fourth time.,0
"one night, i hugged my wife and told her i loved her.  i went to work and got a big raise.  i rushed home to tell her.  when i got home, all of the furniture, my wife and kids were gone.","one night, i hugged my wife and told her i loved her, and i went to work and got a big raise. i rushed home and told her that when i got home, all the furniture, my wife and children were gone.",1
