text,aug_text,label
i once lost my job and got mad.,i lost my job. i was angry.,0
i am so upset and mad. i cant believe what has happened!,i'm so angry. i can't believe what's going on!,0
"i spent all weekend working on my truck to fix a miss in the engine. despite spending over $200 in parts, it didn't do a thing to fix the miss.","i spent the whole weekend working in a truck to make up for engine failures, even though i spent over $200 on spare parts.",0
i went to a party and it was real bad. ,"i went to a party, it was really bad.",1
after learning my husband of only 4 weeks was cheating on me i did the same to him. not only was it before our marriage but i had found texts of him contacting her for sex after. to make it worse i slept with a close family friend of his.,"and even worse, i slept with a close friend of his.",3
i broke a statuette offered by grandmother to my sister.,i broke a statue by my grandmother to my sister.,3
"i ordered for french fries ,bit was served burger,that pissed me off!","i ordered fries, and pete ate burgers. that pisses me off!",2
"there was a situation where i might of hurt my freinds feelings, i ate from my friends fridge and he had no more food left that day. he had to go to bed with no food. hungry.","and then i might hurt my fear, and i ate from a friend's fridge, and he had no food that day.",3
"my mom took away my game system, and would not give it back ever again.",my mom took my game system and won't give it back to me again.,2
i just went for a shopping spree and bought a $2000 bag,"i bought a $2,000 bag.",3
i had a co-worker open at my jb and instead of getting anything done she spent the enitre time on the phone. when i got to work i had to do her job and my own. ,"i have a colleague in my jb open, instead of getting anything she spends time on the phone, when i start working, i have to do her job and mine.",2
recently my manager lied to us. he changed our money and took the bonus away. ,my manager lied to us recently. he swapped our money and took the bonus.,0
my ex girlfriend cheated on me with one of my closest friends. it made me very angry at the both of them.,my ex-girlfriend and my closest friend lied to me.,0
"my handyman keeps telling me he's coming by to fix my sink, but then he doesn't show up. ugh.","my handyman kept telling me he came to fix my sink, but he didn't show up.",2
i am angry against a friend that suppose to help me.,i'm mad at a friend who wants to help me.,2
"my neighbors left town and the weeds are so high, i'm afraid snakes might start living over there.","my neighbor left town, and the weeds are too high.",2
when i moved into my apartment it was full of bugs! ,"when i moved into my apartment, there were bugs everywhere!",0
i was drivng home and this guy cut me off. i had to swerve in order to not hit him.,"i was driving at home, and this guy cut me off, and in order not to hit him, i had to turn around.",2
i lied to the people i work out with. i told them i was out of town but i relaly just did not want to work out.,"i lied to the people who worked with them, and i told them i was out of town, but relaly just didn't want to work.",1
i ate all my kids cookies and blamed it on the dog.,i ate all my kids' cookies and blamed it on the dogs.,3
"missing money from my paycheck, wrong hours and bonus again! ",the money's missing from my payroll check. wrong time and bonus!,2
"i was mowing the lawn, and a rock flew and broke my neighbor's window.","i mow the lawn, a rock flew up and broke the neighbor's window.",1
i feel bad that i work too much and dont see my daughter. ,i'm sorry i worked too much and didn't see my daughter.,3
"i saw a little turtle about to get hit on the road the other day and i was in a hurry and didn't stop and get him. i hope he made it across the road, poor little guy.","i saw a little turtle hit on the road the other day, and i was in a hurry to pick him up.",3
