text,aug_text,label
"last week, i was watching the world cup, and watched croatia win from russia","last week, i watched the world cup and watched the russian croatia win.",1
after learning my husband of only 4 weeks was cheating on me i did the same to him. not only was it before our marriage but i had found texts of him contacting her for sex after. to make it worse i slept with a close family friend of his.,"and even worse, i slept with a close friend of his.",3
i broke a statuette offered by grandmother to my sister.,i broke a statue by my grandmother to my sister.,3
"there was a situation where i might of hurt my freinds feelings, i ate from my friends fridge and he had no more food left that day. he had to go to bed with no food. hungry.","and then i might hurt my fear, and i ate from a friend's fridge, and he had no food that day.",3
when i was little and i found out that we were going to the amusement park . ,"when i was a kid, i found out we were going to the amusement park.",1
my wife and i took a 3 week trip to new zealand last year.,"last year, my wife and i travelled to new zealand for three weeks.",1
i just went for a shopping spree and bought a $2000 bag,"i bought a $2,000 bag.",3
we were getting ready to move back to our hometown after nine years away. i could not wait to be back close to family and friends.,i can't wait to get back to my family and friends.,0
i felt hopeful when i met my betterhalf for the first time. she gives me hope for my remaining life without saying anything. i feel hopeful after my marriage. ,"the first time i met a better half, i was filled with hope, and she gave me hope for the rest of my life.",2
i was going to see the new marvel movie. on the way i got really pumped up.,"i was just going to see a new magic movie... and on the way, i got cramped.",1
i get to go out today after work! yay,i'll be out after work today!,1
i cant wait for my house to sell.. its a slow market. ,i can't wait to sell the house. the market is slow.,2
i have been in college for four years and am only a sophmore. i am going diuble my work load and finish next fall.,"i've been in college for four years, and i'm just a student, and i'm gonna lighten my workload and end next fall.",2
"i really want to win the lottery someday, maybe i will? ","i really want to win the lottery one day, maybe i will",2
today is my birthday and i am going to party this weekend!,it's my birthday. i'm going to a party this weekend!,1
i ate all my kids cookies and blamed it on the dog.,i ate all my kids' cookies and blamed it on the dogs.,3
i feel bad that i work too much and dont see my daughter. ,i'm sorry i worked too much and didn't see my daughter.,3
"i saw a little turtle about to get hit on the road the other day and i was in a hurry and didn't stop and get him. i hope he made it across the road, poor little guy.","i saw a little turtle hit on the road the other day, and i was in a hurry to pick him up.",3
had a interview yesterday. i think it went pretty well. i hope i get the job.,"i had an interview yesterday, and i think it's going well, and i hope i get this job.",0
i bought a lottery ticket and was hopeful i would win.,i bought the lottery. i hope to win.,2
"i'm trying to sell my house. it's been on the market for a year now, but i think i found someone who might buy it.  i'm trying to move to another area.","i want to sell my house. it's been on the market for a year, but i think i found someone who might have bought it.",2
i'll get to go on vacation tomorrow. been working really hard to get things clear up so i can enjoy myself.,"i'm going on vacation tomorrow, trying to figure things out so i can enjoy it.",1
"i cant wait to buy my christmas tree this year, lol.. funny right? ...but i am actually really excited. ","i can't wait to buy my christmas tree this year, lol.",0
to go to a concert. ,go to the concert.,1
when the falcons won the game i was excited.,i was excited when the falcons won the game.,1
i am hopeful i win the lottery.,i hope i won the lottery.,2
i think eventuallt the presidency is going to go in a more positive direction,i think the president will eventually move in a more positive direction.,2
i ordered mcdonalds yesterday and since my lazy daughter wouldn't get out of bed i ate her food. i kind of fell bad about it.,yesterday i ordered mcdonald's because a lazy girl doesn't get out of bed and eats her food.,3
i am ready to go to a amusement park with my son.,i'm going to the amusement park with my son.,1
"i just applied for a promotion, and i should earn at least 10k more.","i just applied for a promotion. i should have earned at least $10,000 more.",2
my wife and i are going on vacation next week. we're satying in a cabin in west virginia.,my wife and i are going on vacation next week.,1
"i texted one of my old buddies from years and years ago and he not only responded, but we met up for lunch yesterday and had a great time! now we're gonna hang out again on sunday and i'm so pumped!",i texted an old friend year after year.,1
i am excited for football season.,i'm excited about the football season.,1
i am ready for hockey season.,i'm ready for hockey season.,1
"we tried for a baby for a long time, almost 4 years.  waiting those 9 months to meet her were so hard!",it took me nine months to see her!,0
i feel bad i stole the cookie.,i think it's a shame i stole cookies.,3
i am excited for the baseball playoffs.,i'm excited about baseball after season.,1
"i recall a time when i had to go to my cousin's birthday part, and i overslept! i felt really guilty about that.","i remember one time i had to go to my cousin's birthday, and i overslept!",3
"i remember waiting for the nintendo switch to come out, i was so excited, i still love using it every day!","i remember waiting for nintendo's switch to come out, and i was excited that i still loved to use it every day!",0
i broke a vase at my mom's house and hid it. i still haven't told her about it.,i broke my mom's vase. i hid it. i haven't told her yet.,3
"back in freshman year of college, i really wanted to room with my brother even though he was not a freshman but a sophomore. i was really rooting for that to happen but instead i got roomed with some random guy.","in the first year of college, i really wanted to live with my brother, even if he wasn't a freshman, but a sophomore, and i really wanted this to happen, but i was living with some random guy.",2
my kids were being bad and i yelled at them.,my kids are bad. i yelled at them.,3
i saw that my coworker left food in the fridge and hat not eaten it in 2 days. i ate it myself and i felt bad,i saw my colleagues leave their food in the fridge. the hat hasn't eaten in two days.,3
i once broke a fax machine my parents spent a lot on. i felt bad about it since it wasn't what i meant to do. he ended up throwing the fax machine around the room.,"i broke a fax machine once, and my parents spent a lot of money, and i felt bad about it because it wasn't what i wanted to do, and he finally threw it in the room.",3
i am excited tomorrow is my birthday,tomorrow's my birthday. i'm excited.,1
"shortly after i got married, my wife and i decided that we wanted to have kids. when we found out she was pregnant, we couldn't wait to find out if we were having a boy or a girl.","soon after i got married, my wife and i decided that we wanted kids, and when we found out she was pregnant, we couldn't wait to know if we had a boy or a girl.",0
can't wait for my vacation to las vegas tomorrow,can't wait for me to go to vegas tomorrow.,1
i am so exited about the coming world cup final.,"about the upcoming finals of the world cup, i dropped out too much.",1
"i decided to i would buy a few lottery tickets. my luck is normally not all that great. i scratched the 3 lottery tickets i bought and won $50,000!","i've got three tickets, i've bought $50,000, i've won $50,000!",1
i think the future will be brighter and conflicts between countries will be smoothed over.,i believe that the future will be brighter and that conflicts between states will end.,2
i'm predicting a very warm summer this year.,i'm predicting it'll be warm this summer.,0
"when i missed up a hit, but was told i could redo it to reverse the rejection.","when i missed a hit, but was told i could do it again to reverse the rejection.",2
"i accidentally ate a piece of cake that my mom made for my dad as a special gift, i felt pretty bad about it.","i accidentally ate a cake my mom made for my dad as a special gift, and i felt very bad.",3
i went to a new restaurant with friends i hadn't seen in a long time.,i went to a new restaurant with a friend i haven't seen in a long time.,1
i am so happy that france is going to the final of the soccer world cup,france goes to the finals of the football world cup.,2
i felt this way when my father bought me a super nintendo for  my 9th birthday. we were very poor so it was unexpected!,my father bought me a super nourishment to celebrate my ninth birthday.,1
"i stayed up later than i had planned last night and had one too many beers, so i had to call out at work today since the hangover was that bad.","i slept late than i planned last night, and i drank too much beer, so i have to go to work today because the hangovers are bad.",3
i remember when i won my first starcraft match.,i remember when i won my first interstellar match.,1
i recently started in vitro treatments in hopes of getting pregnant. i have been trying forever.,"i've recently started the in vitro, hoping to get pregnant, and i've been trying forever.",2
i was so excited to go to universal studios in orlando this summer!,i'm so excited to go to orlando's national studio this summer!,1
i recently applied for a job after being out of the workforce for 13 years.  i'm hoping i get it!,i recently applied for a job. i haven't had a job in 13 years. i wish i could get it!,2
i wish i never lied to my dad.,i wish i'd never lied to my dad.,3
my parents always taught me the value of patience.  a couple of christmases ago i woke up on xmas eve to see if gifts were there but there was nothing...then the next day i got an xbox 360,"my parents always taught me the value of patience a few christmas days ago, when i woke up, at 15 o'clock, to see if there were any gifts, but no gifts, and the next day, i got an xbox 360.",0
i am ready to visit fenway park.,i'm ready to visit fenway park.,1
"after living in my home for 19 years, i'm remodeling my kitchen! it's so much fun to pick everything out!","after 19 years at my house, i'm renovating my kitchen!",1
when i was younger i wanted a new computer so bad. i didn't have good parts and the computer was so slow. when i got the new computer i was ecstatic. ,"when i was young, i really wanted a new computer, and i didn't have good parts, and the computer was so slow, and when i got the new computer, i was so excited.",1
i pray i make the soccer team this season.,i pray i make football teams this season.,2
i wish i didn't cheat on my girlfriend.,i wish i hadn't betrayed my girlfriend.,3
i feel bad for cheating on my now-ex girlfriend.,i'm sorry about my ex-girlfriend's affair.,3
i'm going to a drink and paint party tomorrow. it should be pretty fun!,i'm going to a drink and paint party tomorrow. it should be fun!,1
one time i went to a restaurant with all my friends and i forgot to invite one of my close friends. i felt so bad!,"once i went to the restaurant with all my friends, and i forgot to invite a close friend of mine.",3
my vacation is coming up in a month. i've worked nonstop for 9 months.,my vacation will be here in a month. i've been working for nine months.,0
just got offered a car as a gift. i really needed it.,i really need it.,2
my wife is at the hospital getting checked right now. i think we might be getting good news about a new addition to the family.,my wife is being examined at the hospital.,0
one time i took my friend's cream soda from the fridge.  i didn't think it was a big deal until i found out he had driven 5 hours up north just to get them and they were very expensive.  i felt pretty bad after that,"once i took my friend's cream soda from the fridge, and i didn't think it was a big deal until i found out he was driving five hours north to buy it.",3
"i have a very hard time with job interviews. every time i have one i get really nervous, and the closer i get to the interview the worse i feel.","every time i meet a very nervous person, the more nervous i get, the closer i get to the interview, the worse i feel.",0
i ate a piece of cake my mom was saving for my dad and i felt like i betrayed him a bit.,my mom saved a piece of cake for my dad.,3
just heard back from my boss about a promotion. he says it sounds good that i would get it.,just heard from my boss about the promotion. he said i could get it. sounds good.,0
i've homeschooled my girls and one is graduating next year and the other in 2 years.  i'm ready to get back out in the workforce,"i'm home to educate my daughter, one to graduate next year and the other to graduate two years later, and i'm ready to re-enter the workforce.",2
i felt this way after not returning to work after my maternity leave.,that's what i feel when i don't go back to work after my maternity leave.,3
i was promoted to a managerial level in my company,i've been promoted to corporate management.,1
i once took my friends left over food and lied about it. i felt really bad afterwards.,i used to take my friends for the rest of the food and lie about it.,3
i am exited about the world cup final.,"about the finals of the world cup, i quit.",1
when i was a kid i asked my parents for a dog for christmas. i remember waking up early christmas morning and hearing a whimper from the christmas tree!,"when i was a kid, i asked my parents for a dog for christmas.",1
"i finally got my dream car,hard work pays ! ",i finally got my dream car. i earned money working hard!,1
i will be going on my first cruise in feburary.,i'll be on my first cruise at the sanatorium.,1
my husband and i had been wanting a camper for about 1 year. last week we finally found the camper of our dreams and now have our first camping trip planned.,"last week we finally found our dream camper, and now we're planning our first camp trip.",1
"when i was accepted to college, i got to travel there and search for an apartment. my family and i took a plane there and i was ecstatic. i love riding in planes and going to see my college just made it more fun and interesting.","when i got admitted to college, i was going to travel there to find an apartment, and my family and i were on a plane there, and i was happy, and i like to fly to see my college, which makes the school more interesting and interesting.",1
i blamed eating someone's toast on my dog.,i blame my dog for eating other people's toast.,3
 am going to see my cousin this weekend its going to be fun,i'm meeting my cousin this weekend. it'll be fun.,1
i went into my cousins kitchen and drank all his beer.,i walked into my cousin's kitchen and drank all his beer.,3
i was waiting for a package that had been back ordered to finally arrive.,i'm waiting for a package that has come back to be ordered to finally arrive.,0
i can't wait for next sunday,i can't wait for next sunday.,0
"i was employed as a sales rep in my company ,with diligence ,i'll someday be a manager","i'm hired to work hard as a sales rep, and one day i'm going to be a manager.",2
i went on a job interview and i have been waiting all week for an answer about if i got the job or not.,i've been waiting for a whole week to see if i got the job.,0
i can't wait for next sunday.,i can't wait till next week.,0
i need a raise from my job. i am waiting for one in the next review. ,i need a raise from my job. i'll wait for the next review.,2
i keep playing the lottery but have not won anything over $10. i know one day i am going to hit it big!,"i kept playing the lottery, but i didn't win any more than $10.",2
it was my sixth anniversary the other day. i was pretty sure my boyfriend was planning on proposing. for a couple of days leading up to the day i was so excited i could hardly wait.,"it was my sixth birthday, and i was pretty sure my boyfriend was going to propose.",0
my aunt is coming to visit.,my aunt wants to see you.,0
i am really excited.  i am going on vacation next week and i haven't had one in a long time.,i'm excited. i'm going on vacation next week. i haven't been on vacation in a long time.,1
"one time i saw a 64gb flash drive plugged into a computer. i really needed one so i just took it since it didn't have any information on it, but i couldn't help but feel bad about it.","one time i saw a 64gb flash drive stuck on a computer, and i really needed one, so i took it away, because it didn't have any information, but i couldn't help feeling bad.",3
i just won the best write in my state for the third time. i am feeling on top of the world ,i won the best writing in my state for the third time.,1
whenever i see a newborn baby i always think about how i wish their life will be happy and long.,"whenever i saw a newborn baby, i always wondered how much i wanted their lives to be long and happy.",2
going to california for the first time.,first time in california.,1
i wish i hadn't eaten all my kids' halloween candy. they were wondering why their stash kept getting smaller and smaller. i am so hooked to sugar!,they want to know why their collections are getting smaller.,3
i can't wait for the weekend.  i am going to disney world in florida.,"i can't wait for the weekend. i'm going to disney world, florida.",0
